date,BTC-USD,ETH-USD,fng_value,cpi_value,fed_rates_value,confidence,bullish_ratio,bearish_ratio,tweet_count
2021-01-01,29374.15234375,730.3675537109375,94,262.639,0.09,0.7863,0.0,0.0,0.0
2021-01-02,32127.267578125,774.5349731445312,94,262.639,0.09,0.7993,0.0,0.0,0.0
2021-01-03,32782.0234375,975.5076904296876,93,262.639,0.09,0.823,0.0,0.0,0.0
2021-01-04,31971.9140625,1040.2330322265625,94,262.639,0.09,0.8367,0.0,0.0,0.0
2021-01-05,33992.4296875,1100.006103515625,93,262.639,0.09,0.8295,0.0,0.0,0.0
2021-01-06,36824.36328125,1207.1121826171875,95,262.639,0.09,0.8526,0.0,0.0,0.0
2021-01-07,39371.04296875,1225.6781005859375,91,262.639,0.09,0.8711,0.0,0.0,0.0
2021-01-08,40797.609375,1224.1971435546875,93,262.639,0.09,0.8878,0.0,0.0,0.0
2021-01-09,40254.546875,1281.0772705078125,93,262.639,0.09,0.8999,0.0,0.0,0.0
2021-01-10,38356.44140625,1262.2467041015625,94,262.639,0.09,0.9063,0.0,0.0,0.0
2021-01-11,35566.65625,1090.1453857421875,90,262.639,0.09,0.8856,0.0,0.0,0.0
2021-01-12,33922.9609375,1043.4345703125,84,262.639,0.09,0.8682,0.0,0.0,0.0
2021-01-13,37316.359375,1130.7393798828125,78,262.639,0.09,0.8617,0.0,0.0,0.0
2021-01-14,39187.328125,1218.4530029296875,83,262.639,0.09,0.8768,0.0,0.0,0.0
2021-01-15,36825.3671875,1171.8345947265625,88,262.639,0.09,0.8876,1.0,0.0,3.0
2021-01-16,36178.140625,1233.53759765625,84,262.639,0.09,0.8701,0.3333333333333333,0.6666666666666666,3.0
2021-01-17,35791.27734375,1230.1722412109375,79,262.639,0.09,0.8531,0.3333333333333333,0.0,3.0
2021-01-18,36630.07421875,1257.279541015625,79,262.639,0.09,0.8537,1.0,0.0,1.0
2021-01-19,36069.8046875,1377.2958984375,80,262.639,0.09,0.8537,0.0,1.0,1.0
2021-01-20,35547.75,1382.2740478515625,78,262.639,0.09,0.8532,0.5,0.0,4.0
2021-01-21,30825.69921875,1121.5709228515625,75,262.639,0.09,0.8361,0.75,0.0,4.0
2021-01-22,33005.76171875,1236.51220703125,40,262.639,0.09,0.8109,1.0,0.0,3.0
2021-01-23,32067.642578125,1230.9906005859375,74,262.639,0.09,0.8182,0.0,0.0,0.0
2021-01-24,32289.37890625,1391.609375,70,262.639,0.09,0.8112,0.0,0.0,0.0
2021-01-25,32366.392578125,1324.414794921875,74,262.639,0.09,0.8116,0.6666666666666666,0.0,3.0
2021-01-26,32569.849609375,1357.05810546875,71,262.639,0.09,0.8177,0.25,0.25,4.0
2021-01-27,30432.546875,1253.1871337890625,78,262.639,0.09,0.8036,0.25,0.0,4.0
2021-01-28,33466.09765625,1332.4921875,55,262.639,0.09,0.7854,0.8,0.0,5.0
2021-01-29,34316.38671875,1382.5228271484375,77,262.639,0.09,0.809,0.0,0.0,2.0
2021-01-30,34269.5234375,1376.115478515625,76,262.639,0.09,0.8168,0.6666666666666666,0.0,6.0
