date,BTC-USD,fng_value,confidence
2021-01-01,29374.15234375,94,0.7863
2021-01-02,32127.267578125,94,0.7993
2021-01-03,32782.0234375,93,0.823
2021-01-04,31971.9140625,94,0.8367
2021-01-05,33992.4296875,93,0.8295
2021-01-06,36824.36328125,95,0.8526
2021-01-07,39371.04296875,91,0.8711
2021-01-08,40797.609375,93,0.8878
2021-01-09,40254.546875,93,0.8999
2021-01-10,38356.44140625,94,0.9063
2021-01-11,35566.65625,90,0.8856
2021-01-12,33922.9609375,84,0.8682
2021-01-13,37316.359375,78,0.8617
2021-01-14,39187.328125,83,0.8768
2021-01-15,36825.3671875,88,0.8876
2021-01-16,36178.140625,84,0.8701
2021-01-17,35791.27734375,79,0.8531
2021-01-18,36630.07421875,79,0.8537
2021-01-19,36069.8046875,80,0.8537
2021-01-20,35547.75,78,0.8532
2021-01-21,30825.69921875,75,0.8361
2021-01-22,33005.76171875,40,0.8109
2021-01-23,32067.642578125,74,0.8182
2021-01-24,32289.37890625,70,0.8112
2021-01-25,32366.392578125,74,0.8116
2021-01-26,32569.849609375,71,0.8177
2021-01-27,30432.546875,78,0.8036
2021-01-28,33466.09765625,55,0.7854
2021-01-29,34316.38671875,77,0.809
2021-01-30,34269.5234375,76,0.8168
2021-01-31,33114.359375,78,0.8178
2021-02-01,33537.17578125,77,0.8037
2021-02-02,35510.2890625,76,0.8213
2021-02-03,37472.08984375,78,0.831
2021-02-04,36926.06640625,80,0.8533
2021-02-05,38144.30859375,81,0.8588
2021-02-06,39266.01171875,84,0.8643
2021-02-07,38903.44140625,86,0.8654
2021-02-08,46196.46484375,83,0.8724
2021-02-09,46481.10546875,95,0.9081
2021-02-10,44918.18359375,92,0.9251
2021-02-11,47909.33203125,93,0.9172
2021-02-12,47504.8515625,92,0.9331
2021-02-13,47105.515625,92,0.9384
2021-02-14,48717.2890625,95,0.9352
2021-02-15,47945.05859375,93,0.944
2021-02-16,49199.87109375,95,0.9342
2021-02-17,52149.0078125,95,0.9442
2021-02-18,51679.796875,91,0.9547
2021-02-19,55888.1328125,93,0.957
2021-02-20,56099.51953125,91,0.9684
2021-02-21,57539.9453125,91,0.9754
2021-02-22,54207.3203125,94,0.9769
